row,col,dir,d_h_bin,d_l_bin,d_r_bin,action,q_value,sa_visit_count,tension
57,190,3,4,4,4,0,0.367865,1,0.000000
57,190,3,4,4,4,1,0.000000,0,0.000000
57,190,3,4,4,4,2,0.000000,0,0.000000
57,190,3,4,4,4,3,0.000000,0,0.000000
57,190,3,4,4,4,4,0.000000,0,0.000000
57,190,3,4,4,4,5,0.000000,0,0.000000
57,190,3,4,4,4,6,0.000000,0,0.000000
57,190,3,4,4,4,7,0.000000,0,0.000000
58,185,5,4,4,4,0,0.791832,1,0.000000
58,185,5,4,4,4,1,0.000000,0,0.000000
58,185,5,4,4,4,2,0.000000,0,0.000000
58,185,5,4,4,4,3,0.000000,0,0.000000
58,185,5,4,4,4,4,0.000000,0,0.000000
58,185,5,4,4,4,5,0.000000,0,0.000000
58,185,5,4,4,4,6,0.000000,0,0.000000
58,185,5,4,4,4,7,0.000000,0,0.000000
58,189,4,4,4,4,0,0.000000,0,0.000000
58,189,4,4,4,4,1,0.000000,0,0.000000
58,189,4,4,4,4,2,0.000000,0,0.000000
58,189,4,4,4,4,3,-2.611359,1,0.000000
58,189,4,4,4,4,4,0.000000,0,0.000000
58,189,4,4,4,4,5,0.000000,0,0.000000
58,189,4,4,4,4,6,0.000000,0,0.000000
58,189,4,4,4,4,7,0.000000,0,0.000000
58,190,0,4,4,4,0,0.222592,1,0.000000
58,190,0,4,4,4,1,0.000000,0,0.000000
58,190,0,4,4,4,2,0.000000,0,0.000000
58,190,0,4,4,4,3,0.000000,0,0.000000
58,190,0,4,4,4,4,0.000000,0,0.000000
58,190,0,4,4,4,5,0.000000,0,0.000000
58,190,0,4,4,4,6,0.000000,0,0.000000
58,190,0,4,4,4,7,0.000000,0,0.000000
59,184,5,4,4,4,0,1.506423,2,0.000000
59,184,5,4,4,4,1,0.000000,0,0.000000
59,184,5,4,4,4,2,0.000000,0,0.000000
59,184,5,4,4,4,3,0.000000,0,0.000000
59,184,5,4,4,4,4,0.000000,0,0.000000
59,184,5,4,4,4,5,0.000000,0,0.000000
59,184,5,4,4,4,6,0.000000,0,0.000000
59,184,5,4,4,4,7,0.000000,0,0.000000
59,185,0,4,4,4,0,0.000000,0,0.000000
59,185,0,4,4,4,1,-0.825525,1,0.000000
59,185,0,4,4,4,2,0.000000,0,0.000000
59,185,0,4,4,4,3,0.000000,0,0.000000
59,185,0,4,4,4,4,0.000000,0,0.000000
59,185,0,4,4,4,5,0.000000,0,0.000000
59,185,0,4,4,4,6,0.000000,0,0.000000
59,185,0,4,4,4,7,0.000000,0,0.000000
59,185,5,4,4,4,0,3.478802,3,0.000000
59,185,5,4,4,4,1,0.000000,0,0.000000
59,185,5,4,4,4,2,0.000000,0,0.000000
59,185,5,4,4,4,3,0.000000,0,0.000000
59,185,5,4,4,4,4,0.000000,0,0.000000
59,185,5,4,4,4,5,0.000000,0,0.000000
59,185,5,4,4,4,6,0.000000,0,0.000000
59,185,5,4,4,4,7,0.000000,0,0.000000
59,185,6,4,4,4,0,1.755210,2,0.000000
59,185,6,4,4,4,1,0.000000,0,0.000000
59,185,6,4,4,4,2,0.000000,0,0.000000
59,185,6,4,4,4,3,0.000000,0,0.000000
59,185,6,4,4,4,4,0.000000,0,0.000000
59,185,6,4,4,4,5,0.000000,0,0.000000
59,185,6,4,4,4,6,0.000000,0,0.000000
59,185,6,4,4,4,7,0.000000,0,0.000000
59,186,3,4,4,4,0,0.422503,1,0.000000
59,186,3,4,4,4,1,0.000000,0,0.000000
59,186,3,4,4,4,2,0.000000,0,0.000000
59,186,3,4,4,4,3,0.000000,0,0.000000
59,186,3,4,4,4,4,0.000000,0,0.000000
59,186,3,4,4,4,5,0.000000,0,0.000000
59,186,3,4,4,4,6,0.000000,0,0.000000
59,186,3,4,4,4,7,0.000000,0,0.000000
59,186,4,4,4,4,0,0.503352,1,0.000000
59,186,4,4,4,4,1,0.000000,0,0.000000
59,186,4,4,4,4,2,0.000000,0,0.000000
59,186,4,4,4,4,3,0.000000,0,0.000000
59,186,4,4,4,4,4,0.000000,0,0.000000
59,186,4,4,4,4,5,0.000000,0,0.000000
59,186,4,4,4,4,6,0.000000,0,0.000000
59,186,4,4,4,4,7,0.000000,0,0.000000
59,186,5,4,4,4,0,0.000000,0,0.000000
59,186,5,4,4,4,1,0.000000,0,0.000000
59,186,5,4,4,4,2,-1.733782,1,0.000000
59,186,5,4,4,4,3,0.000000,0,0.000000
59,186,5,4,4,4,4,0.000000,0,0.000000
59,186,5,4,4,4,5,-0.515660,1,0.000000
59,186,5,4,4,4,6,1.517463,2,0.000000
59,186,5,4,4,4,7,0.000000,0,0.000000
59,187,2,4,4,4,0,0.488695,1,0.000000
59,187,2,4,4,4,1,0.000000,0,0.000000
59,187,2,4,4,4,2,0.000000,0,0.000000
59,187,2,4,4,4,3,0.000000,0,0.000000
59,187,2,4,4,4,4,0.000000,0,0.000000
59,187,2,4,4,4,5,0.000000,0,0.000000
59,187,2,4,4,4,6,0.000000,0,0.000000
59,187,2,4,4,4,7,0.000000,0,0.000000
59,187,4,4,4,4,0,0.311182,1,0.000000
59,187,4,4,4,4,1,0.000000,0,0.000000
59,187,4,4,4,4,2,0.000000,0,0.000000
59,187,4,4,4,4,3,0.000000,0,0.000000
59,187,4,4,4,4,4,0.000000,0,0.000000
59,187,4,4,4,4,5,0.000000,0,0.000000
59,187,4,4,4,4,6,0.000000,0,0.000000
59,187,4,4,4,4,7,0.000000,0,0.000000
59,187,5,4,4,4,0,0.769439,5,0.000000
59,187,5,4,4,4,1,0.000000,0,0.000000
59,187,5,4,4,4,2,0.000000,0,0.000000
59,187,5,4,4,4,3,0.000000,0,0.000000
59,187,5,4,4,4,4,0.000000,0,0.000000
59,187,5,4,4,4,5,0.000000,0,0.000000
59,187,5,4,4,4,6,0.000000,0,0.000000
59,187,5,4,4,4,7,0.000000,0,0.000000
59,188,4,4,4,4,0,0.194142,1,0.000000
59,188,4,4,4,4,1,0.000000,0,0.000000
59,188,4,4,4,4,2,0.000000,0,0.000000
59,188,4,4,4,4,3,0.000000,0,0.000000
59,188,4,4,4,4,4,0.000000,0,0.000000
59,188,4,4,4,4,5,0.000000,0,0.000000
59,188,4,4,4,4,6,0.000000,0,0.000000
59,188,4,4,4,4,7,0.000000,0,0.000000
59,189,3,4,4,4,0,0.117118,1,0.000000
59,189,3,4,4,4,1,0.000000,0,0.000000
59,189,3,4,4,4,2,0.000000,0,0.000000
59,189,3,4,4,4,3,0.000000,0,0.000000
59,189,3,4,4,4,4,0.000000,0,0.000000
59,189,3,4,4,4,5,0.000000,0,0.000000
59,189,3,4,4,4,6,0.000000,0,0.000000
59,189,3,4,4,4,7,0.000000,0,0.000000
59,189,4,4,4,4,0,0.000000,0,0.000000
59,189,4,4,4,4,1,0.000000,0,0.000000
59,189,4,4,4,4,2,0.000000,0,0.000000
59,189,4,4,4,4,3,0.000000,0,0.000000
59,189,4,4,4,4,4,-1.247529,1,0.000000
