row,col,dir,d_h_bin,d_l_bin,d_r_bin,action,q_value,sa_visit_count,tension
57,190,4,3,4,4,0,0.375330,1,0.000000
57,190,4,3,4,4,1,0.000000,0,0.000000
57,190,4,3,4,4,2,0.000000,0,0.000000
57,190,4,3,4,4,3,0.000000,0,0.000000
57,190,4,3,4,4,4,0.000000,0,0.000000
57,190,4,3,4,4,5,0.000000,0,0.000000
57,190,4,3,4,4,6,0.000000,0,0.000000
57,190,4,3,4,4,7,0.000000,0,0.000000
58,188,5,3,4,4,0,0.392843,1,0.000000
58,188,5,3,4,4,1,0.000000,0,0.000000
58,188,5,3,4,4,2,0.000000,0,0.000000
58,188,5,3,4,4,3,0.000000,0,0.000000
58,188,5,3,4,4,4,0.000000,0,0.000000
58,188,5,3,4,4,5,0.000000,0,0.000000
58,188,5,3,4,4,6,0.000000,0,0.000000
58,188,5,3,4,4,7,0.000000,0,0.000000
58,190,0,4,4,4,0,0.254218,1,0.000000
58,190,0,4,4,4,1,0.000000,0,0.000000
58,190,0,4,4,4,2,0.000000,0,0.000000
58,190,0,4,4,4,3,0.000000,0,0.000000
58,190,0,4,4,4,4,0.000000,0,0.000000
58,190,0,4,4,4,5,0.000000,0,0.000000
58,190,0,4,4,4,6,0.000000,0,0.000000
58,190,0,4,4,4,7,0.000000,0,0.000000
58,190,3,4,4,4,4,-1.229381,1,0.000000
58,190,4,4,4,4,0,0.230262,1,0.000000
58,190,4,4,4,4,1,0.000000,0,0.000000
58,190,4,4,4,4,2,0.000000,0,0.000000
58,190,4,4,4,4,3,0.000000,0,0.000000
58,190,4,4,4,4,4,0.000000,0,0.000000
58,190,4,4,4,4,5,0.000000,0,0.000000
58,190,4,4,4,4,6,0.000000,0,0.000000
58,190,4,4,4,4,7,0.000000,0,0.000000
59,186,3,4,4,4,0,0.426121,1,0.000000
59,186,3,4,4,4,1,0.000000,0,0.000000
59,186,3,4,4,4,2,0.000000,0,0.000000
59,186,3,4,4,4,3,0.000000,0,0.000000
59,186,3,4,4,4,4,0.000000,0,0.000000
59,186,3,4,4,4,5,0.000000,0,0.000000
59,186,3,4,4,4,6,0.000000,0,0.000000
59,186,3,4,4,4,7,0.000000,0,0.000000
59,187,3,4,4,4,0,0.310435,1,0.000000
59,187,3,4,4,4,1,0.000000,0,0.000000
59,187,3,4,4,4,2,0.000000,0,0.000000
59,187,3,4,4,4,3,0.000000,0,0.000000
59,187,3,4,4,4,4,0.000000,0,0.000000
59,187,3,4,4,4,5,0.000000,0,0.000000
59,187,3,4,4,4,6,0.000000,0,0.000000
59,187,3,4,4,4,7,0.000000,0,0.000000
59,187,5,4,4,4,0,0.318810,1,0.000000
59,187,5,4,4,4,1,0.000000,0,0.000000
59,187,5,4,4,4,2,0.000000,0,0.000000
59,187,5,4,4,4,3,0.000000,0,0.000000
59,187,5,4,4,4,4,0.000000,0,0.000000
59,187,5,4,4,4,5,0.000000,0,0.000000
59,187,5,4,4,4,6,0.000000,0,0.000000
59,187,5,4,4,4,7,0.000000,0,0.000000
59,187,6,4,3,4,0,0.296476,1,0.000000
59,187,6,4,3,4,1,0.000000,0,0.000000
59,187,6,4,3,4,2,0.000000,0,0.000000
59,187,6,4,3,4,3,0.000000,0,0.000000
59,187,6,4,3,4,4,0.000000,0,0.000000
59,187,6,4,3,4,5,0.000000,0,0.000000
59,187,6,4,3,4,6,0.000000,0,0.000000
59,187,6,4,3,4,7,0.000000,0,0.000000
59,188,0,4,4,4,2,-1.862602,1,0.000000
59,188,5,3,4,4,0,0.385698,3,0.000000
59,188,5,3,4,4,1,-1.397413,1,0.000000
59,188,5,3,4,4,2,0.000000,0,0.000000
59,188,5,3,4,4,3,0.000000,0,0.000000
59,188,5,3,4,4,4,0.000000,0,0.000000
59,188,5,3,4,4,5,0.000000,0,0.000000
59,188,5,3,4,4,6,0.964372,1,0.000000
59,188,5,3,4,4,7,0.000000,0,0.000000
59,188,5,4,4,4,0,0.200460,1,0.000000
59,188,5,4,4,4,1,0.000000,0,0.000000
59,188,5,4,4,4,2,0.000000,0,0.000000
59,188,5,4,4,4,3,0.000000,0,0.000000
59,188,5,4,4,4,4,0.000000,0,0.000000
59,188,5,4,4,4,5,0.000000,0,0.000000
59,188,5,4,4,4,6,0.000000,0,0.000000
59,188,5,4,4,4,7,0.000000,0,0.000000
59,189,2,4,4,4,0,0.335336,1,0.000000
59,189,2,4,4,4,1,0.000000,0,0.000000
59,189,2,4,4,4,2,0.000000,0,0.000000
59,189,2,4,4,4,3,0.000000,0,0.000000
59,189,2,4,4,4,4,0.000000,0,0.000000
59,189,2,4,4,4,5,0.000000,0,0.000000
59,189,2,4,4,4,6,0.000000,0,0.000000
59,189,2,4,4,4,7,0.000000,0,0.000000
59,189,3,4,4,4,0,0.478374,1,0.000000
59,189,3,4,4,4,1,0.000000,0,0.000000
59,189,3,4,4,4,2,0.000000,0,0.000000
59,189,3,4,4,4,3,0.000000,0,0.000000
59,189,3,4,4,4,4,0.000000,0,0.000000
59,189,3,4,4,4,5,0.000000,0,0.000000
59,189,3,4,4,4,6,0.000000,0,0.000000
59,189,3,4,4,4,7,0.000000,0,0.000000
59,189,4,4,4,4,0,0.122995,1,0.000000
59,189,4,4,4,4,1,0.000000,0,0.000000
59,189,4,4,4,4,2,0.000000,0,0.000000
59,189,4,4,4,4,3,0.000000,0,0.000000
59,189,4,4,4,4,4,0.000000,0,0.000000
59,189,4,4,4,4,5,0.000000,0,0.000000
59,189,4,4,4,4,6,0.000000,0,0.000000
59,189,4,4,4,4,7,0.000000,0,0.000000
59,189,5,4,4,4,0,0.666243,8,0.000000
59,189,5,4,4,4,1,0.000000,0,0.000000
59,189,5,4,4,4,2,-1.900492,1,0.000000
