row,col,dir,d_h_bin,d_l_bin,d_r_bin,action,q_value,sa_visit_count,tension
57,185,4,4,4,4,0,0.929523,1,0.000000
57,185,4,4,4,4,1,0.000000,0,0.000000
57,185,4,4,4,4,2,0.000000,0,0.000000
57,185,4,4,4,4,3,0.000000,0,0.000000
57,185,4,4,4,4,4,0.000000,0,0.000000
57,185,4,4,4,4,5,0.000000,0,0.000000
57,185,4,4,4,4,6,0.000000,0,0.000000
57,185,4,4,4,4,7,0.000000,0,0.000000
58,185,0,4,4,4,0,0.811775,1,0.000000
58,185,0,4,4,4,1,0.000000,0,0.000000
58,185,0,4,4,4,2,0.000000,0,0.000000
58,185,0,4,4,4,3,0.000000,0,0.000000
58,185,0,4,4,4,4,0.000000,0,0.000000
58,185,0,4,4,4,5,0.000000,0,0.000000
58,185,0,4,4,4,6,0.000000,0,0.000000
58,185,0,4,4,4,7,0.000000,0,0.000000
58,185,5,4,4,4,0,0.000000,0,0.000000
58,185,5,4,4,4,1,0.000000,0,0.000000
58,185,5,4,4,4,2,0.000000,0,0.000000
58,185,5,4,4,4,3,0.000000,0,0.000000
58,185,5,4,4,4,4,-1.729523,1,0.000000
58,185,5,4,4,4,5,0.000000,0,0.000000
58,185,5,4,4,4,6,0.000000,0,0.000000
58,185,5,4,4,4,7,0.000000,0,0.000000
58,189,4,4,4,4,0,0.397709,1,0.000000
58,189,4,4,4,4,1,0.000000,0,0.000000
58,189,4,4,4,4,2,0.000000,0,0.000000
58,189,4,4,4,4,3,0.000000,0,0.000000
58,189,4,4,4,4,4,0.000000,0,0.000000
58,189,4,4,4,4,5,0.000000,0,0.000000
58,189,4,4,4,4,6,0.000000,0,0.000000
58,189,4,4,4,4,7,0.000000,0,0.000000
58,189,5,4,4,4,0,0.555084,2,0.000000
58,189,5,4,4,4,1,0.000000,0,0.000000
58,189,5,4,4,4,2,0.000000,0,0.000000
58,189,5,4,4,4,3,0.000000,0,0.000000
58,189,5,4,4,4,4,0.000000,0,0.000000
58,189,5,4,4,4,5,0.000000,0,0.000000
58,189,5,4,4,4,6,0.000000,0,0.000000
58,189,5,4,4,4,7,0.000000,0,0.000000
