row,col,dir,d_h_bin,d_l_bin,d_r_bin,action,q_value,sa_visit_count,tension
56,49,5,4,3,4,0,0.000000,0,0.000000
56,49,5,4,3,4,1,0.000000,0,0.000000
56,49,5,4,3,4,2,0.000000,0,0.000000
56,49,5,4,3,4,3,0.000000,0,0.000000
56,49,5,4,3,4,4,0.000000,0,0.000000
56,49,5,4,3,4,5,0.000000,0,0.000000
56,49,5,4,3,4,6,0.000000,0,0.000000
56,49,5,4,3,4,7,-1.932771,1,0.000000
56,51,5,4,4,4,0,0.000000,0,0.000000
56,51,5,4,4,4,1,0.000000,0,0.000000
56,51,5,4,4,4,2,0.000000,0,0.000000
56,51,5,4,4,4,3,0.000000,0,0.000000
56,51,5,4,4,4,4,0.000000,0,0.000000
56,51,5,4,4,4,5,0.000000,0,0.000000
56,51,5,4,4,4,6,0.000000,0,0.000000
56,51,5,4,4,4,7,-1.931729,1,0.000000
56,76,5,3,4,4,0,0.000000,0,0.000000
56,76,5,3,4,4,1,1.281112,1,0.000000
56,76,5,3,4,4,2,1.197419,1,0.000000
56,76,5,3,4,4,3,0.000000,0,0.000000
56,76,5,3,4,4,4,0.000000,0,0.000000
56,76,5,3,4,4,5,0.000000,0,0.000000
56,76,5,3,4,4,6,0.000000,0,0.000000
56,76,5,3,4,4,7,0.000000,0,0.000000
56,77,2,3,4,4,0,0.000000,0,0.000000
56,77,2,3,4,4,1,0.000000,0,0.000000
56,77,2,3,4,4,2,0.000000,0,0.000000
56,77,2,3,4,4,3,0.000000,0,0.000000
56,77,2,3,4,4,4,0.000000,0,0.000000
56,77,2,3,4,4,5,0.000000,0,0.000000
56,77,2,3,4,4,6,0.000000,0,0.000000
56,77,2,3,4,4,7,-1.914512,1,0.000000
56,78,3,4,3,4,0,0.000000,0,0.000000
56,78,3,4,3,4,1,1.282633,1,0.000000
56,78,3,4,3,4,2,0.000000,0,0.000000
56,78,3,4,3,4,3,0.000000,0,0.000000
56,78,3,4,3,4,4,0.000000,0,0.000000
56,78,3,4,3,4,5,0.000000,0,0.000000
56,78,3,4,3,4,6,0.000000,0,0.000000
56,78,3,4,3,4,7,0.000000,0,0.000000
56,79,6,4,4,4,0,-0.314686,1,0.000000
56,79,6,4,4,4,1,0.000000,0,0.000000
56,79,6,4,4,4,2,0.000000,0,0.000000
56,79,6,4,4,4,3,0.000000,0,0.000000
56,79,6,4,4,4,4,0.000000,0,0.000000
56,79,6,4,4,4,5,0.000000,0,0.000000
56,79,6,4,4,4,6,0.000000,0,0.000000
56,79,6,4,4,4,7,0.000000,0,0.000000
56,80,3,3,2,4,0,0.000000,0,0.000000
56,80,3,3,2,4,2,0.000000,0,0.000000
56,80,3,3,2,4,3,0.000000,0,0.000000
56,80,3,3,2,4,4,0.000000,0,0.000000
56,80,3,3,2,4,5,0.000000,0,0.000000
56,80,3,3,2,4,6,-1.997266,1,0.000000
56,80,3,3,2,4,7,0.000000,0,0.000000
57,47,5,4,4,3,0,0.000000,0,0.000000
57,47,5,4,4,3,1,1.252596,1,0.000000
57,47,5,4,4,3,2,0.000000,0,0.000000
57,47,5,4,4,3,3,0.000000,0,0.000000
57,47,5,4,4,3,4,0.000000,0,0.000000
57,47,5,4,4,3,5,0.000000,0,0.000000
57,47,5,4,4,3,6,0.000000,0,0.000000
57,47,5,4,4,3,7,0.000000,0,0.000000
57,48,3,4,4,3,0,0.000000,0,0.000000
57,48,3,4,4,3,1,0.000000,0,0.000000
57,48,3,4,4,3,2,0.000000,0,0.000000
57,48,3,4,4,3,3,1.132771,1,0.000000
57,48,3,4,4,3,4,0.000000,0,0.000000
57,48,3,4,4,3,5,0.000000,0,0.000000
57,48,3,4,4,3,6,0.000000,0,0.000000
57,48,3,4,4,3,7,0.000000,0,0.000000
57,48,7,4,4,4,0,-0.346299,1,0.000000
57,48,7,4,4,4,1,0.000000,0,0.000000
57,48,7,4,4,4,2,0.000000,0,0.000000
57,48,7,4,4,4,3,0.000000,0,0.000000
57,48,7,4,4,4,4,0.000000,0,0.000000
57,48,7,4,4,4,5,0.000000,0,0.000000
57,48,7,4,4,4,6,0.000000,0,0.000000
57,48,7,4,4,4,7,0.000000,0,0.000000
57,50,7,4,4,4,0,0.000000,0,0.000000
57,50,7,4,4,4,1,0.000000,0,0.000000
57,50,7,4,4,4,2,0.000000,0,0.000000
57,50,7,4,4,4,3,0.000000,0,0.000000
57,50,7,4,4,4,4,0.000000,0,0.000000
57,50,7,4,4,4,5,-2.064970,1,0.000000
57,50,7,4,4,4,6,0.000000,0,0.000000
57,50,7,4,4,4,7,0.000000,0,0.000000
57,52,4,4,4,4,0,-0.344649,1,0.000000
57,52,4,4,4,4,1,0.000000,0,0.000000
57,52,4,4,4,4,2,0.000000,0,0.000000
57,52,4,4,4,4,3,0.000000,0,0.000000
57,52,4,4,4,4,4,0.000000,0,0.000000
57,52,4,4,4,4,5,-2.065943,1,0.000000
57,52,4,4,4,4,6,0.000000,0,0.000000
57,52,4,4,4,4,7,0.000000,0,0.000000
57,76,5,4,4,4,0,-0.332137,1,0.000000
57,76,5,4,4,4,1,0.000000,0,0.000000
57,76,5,4,4,4,2,0.000000,0,0.000000
57,76,5,4,4,4,3,0.000000,0,0.000000
57,76,5,4,4,4,4,0.000000,0,0.000000
57,76,5,4,4,4,5,0.000000,0,0.000000
57,76,5,4,4,4,6,0.000000,0,0.000000
57,76,5,4,4,4,7,0.000000,0,0.000000
57,76,7,4,4,4,0,0.000000,0,0.000000
57,76,7,4,4,4,1,0.000000,0,0.000000
57,76,7,4,4,4,2,1.198206,1,0.000000
57,76,7,4,4,4,3,0.000000,0,0.000000
57,76,7,4,4,4,4,0.000000,0,0.000000
57,76,7,4,4,4,5,0.000000,0,0.000000
