row,col,dir,d_h_bin,d_l_bin,d_r_bin,action,q_value,sa_visit_count,tension
36,59,6,1,1,4,0,-0.075202,1,0.000000
36,60,5,1,1,2,6,-1.965135,1,0.000000
37,59,0,4,4,3,7,-1.658061,1,0.000000
37,61,4,2,1,2,5,-2.294518,1,0.000000
38,58,7,4,2,4,7,-1.675456,1,0.000000
38,60,5,2,2,3,2,1.169670,1,0.000000
38,61,2,1,1,1,4,-0.717521,1,0.000000
38,61,3,1,1,3,0,-0.094958,1,0.000000
39,60,4,3,2,3,0,-0.109814,1,0.000000
39,60,4,3,2,3,2,0.422690,1,0.000000
39,60,4,3,2,3,3,0.867038,1,0.000000
39,60,5,3,3,3,2,1.172080,1,0.000000
39,60,6,3,3,4,0,-0.109814,1,0.000000
39,60,6,3,3,4,7,-1.684619,1,0.000000
39,61,0,4,4,1,5,-2.274711,1,0.000000
39,61,2,1,1,1,6,-3.155328,2,0.000000
40,59,7,4,4,4,0,-0.124504,1,0.000000
40,60,0,3,4,2,1,1.454309,1,0.000000
40,60,0,3,4,2,4,-0.690186,1,0.000000
40,60,3,2,2,3,4,-1.104297,2,0.000000
40,60,6,4,3,4,2,1.174398,1,0.000000
40,61,2,1,1,1,5,-2.264584,1,0.000000
40,61,4,3,1,3,0,-0.120089,1,0.000000
40,61,4,3,1,3,6,-1.974398,1,0.000000
41,59,0,4,4,3,3,0.637039,1,0.000000
41,59,3,3,2,3,0,-0.136964,1,0.000000
41,59,3,3,2,3,2,1.176995,1,0.000000
41,59,5,3,3,4,1,1.442129,1,0.000000
41,59,6,4,3,4,3,0.899309,1,0.000000
41,60,2,2,2,2,6,-1.976995,1,0.000000
41,60,6,4,3,4,1,1.443887,1,0.000000
41,61,0,4,4,1,6,-1.976623,1,0.000000
41,61,1,1,4,1,4,-0.679911,1,0.000000
41,61,4,3,1,3,4,-0.679911,1,0.000000
42,58,4,3,3,3,3,0.916387,1,0.000000
42,58,6,4,3,4,3,0.916387,1,0.000000
42,59,0,4,4,3,2,1.179092,1,0.000000
42,59,4,3,3,3,0,-0.149472,1,0.000000
42,59,6,4,3,4,6,-1.979423,1,0.000000
42,60,1,2,3,2,0,-0.147470,1,0.000000
42,60,2,2,2,2,5,-2.242129,1,0.000000
42,60,3,2,2,3,6,-1.979092,1,0.000000
42,60,4,3,2,3,1,1.433318,1,0.000000
42,61,1,1,4,1,4,-0.667264,1,0.000000
43,58,5,3,3,3,2,1.181394,1,0.000000
43,58,5,3,3,3,4,-0.648556,1,0.000000
43,58,6,3,3,4,7,-1.747440,1,0.000000
43,59,0,4,4,3,3,0.928565,1,0.000000
43,59,2,2,3,3,7,-1.745300,1,0.000000
43,59,3,3,2,4,4,-0.650528,1,0.000000
43,59,5,3,4,3,6,-1.981394,1,0.000000
43,60,0,3,4,3,4,-0.652530,1,0.000000
43,60,3,2,2,4,7,-1.743123,1,0.000000
43,60,6,4,3,4,7,-2.586482,1,0.000000
43,61,1,1,3,1,6,-1.980788,1,0.000000
44,57,7,4,2,4,2,1.183535,1,0.000000
44,58,2,3,3,3,2,1.183272,1,0.000000
44,58,5,4,4,3,0,-0.176411,1,0.000000
44,58,7,4,3,4,3,0.945300,1,0.000000
44,59,2,2,4,3,3,0.943123,1,0.000000
44,59,7,4,3,4,5,-3.550986,2,0.000000
44,60,3,2,2,4,1,1.411745,1,0.000000
44,60,5,4,4,3,5,-2.220974,1,0.000000
45,58,0,4,4,2,2,1.185053,1,0.000000
45,58,4,4,3,4,2,1.185053,1,0.000000
45,58,4,4,3,4,7,-1.775907,1,0.000000
45,59,2,4,3,3,0,-0.187273,1,0.000000
45,59,2,4,3,3,2,1.184812,1,0.000000
45,59,3,3,4,4,3,0.957631,1,0.000000
45,59,4,4,3,4,5,-2.208642,1,0.000000
45,60,2,4,4,2,0,-0.185561,1,0.000000
45,61,1,1,3,4,5,-2.211745,1,0.000000
46,57,7,4,3,4,2,1.186949,1,0.000000
46,58,2,3,4,3,4,-0.611041,1,0.000000
46,58,3,3,3,4,4,-0.611041,1,0.000000
46,58,6,3,4,4,3,0.974012,1,0.000000
46,59,0,4,4,1,2,1.186524,1,0.000000
46,59,6,4,4,4,4,-0.612727,1,0.000000
46,59,6,4,4,4,6,-1.986739,1,0.000000
46,60,0,1,4,3,6,-1.986524,1,0.000000
46,60,2,2,3,2,6,-1.986524,1,0.000000
47,51,6,2,2,2,2,1.189534,1,0.000000
47,52,2,4,4,4,0,-0.222640,1,0.000000
47,52,3,4,4,3,6,-1.989534,1,0.000000
47,57,5,3,4,4,3,0.990058,1,0.000000
48,50,5,1,2,4,2,1.191009,1,0.000000
48,51,2,4,4,4,0,-0.235984,1,0.000000
48,51,4,2,4,3,3,1.013511,1,0.000000
48,52,0,4,3,4,1,1.357262,1,0.000000
48,53,3,4,4,4,1,1.358406,1,0.000000
48,53,4,4,4,2,7,-1.825467,1,0.000000
48,53,5,2,4,4,7,-1.825467,1,0.000000
48,56,4,4,4,3,2,1.190136,1,0.000000
48,56,6,4,3,4,1,1.361936,1,0.000000
48,57,2,4,4,3,6,-1.990136,1,0.000000
48,58,3,3,4,4,2,1.189817,1,0.000000
48,58,6,4,3,4,5,-2.174341,1,0.000000
48,59,2,4,1,1,6,-1.989817,1,0.000000
49,51,0,4,3,4,4,-0.564016,1,0.000000
49,51,4,2,4,2,7,-1.841399,1,0.000000
49,51,5,2,2,1,5,-2.155024,1,0.000000
