Algorithm,SCAN_DEPTH_THRESHOLD,PERCEPTION_RADIUS_CELLS,MAX_RL_STEPS,Total_Scans,Exploration_Entropy,Final_Greedy_Reward,Convergence_Episode,Final_Greedy_Path_Length,Avg_Safety_Margin_Final_Path
Q-Learning,5.0,20,400,433,14.5226,276.38,397,178,10.4317
SARSA,5.0,20,400,376,14.4558,263.89,368,173,11.1335
Q-Learning,10.0,20,400,441,14.3553,1345.31,366,163,10.3005
SARSA,10.0,20,400,453,14.6231,1362.31,394,146,10.6786
Q-Learning,15.0,20,400,424,14.4381,1363.65,365,143,12.0378
SARSA,15.0,20,400,454,14.4625,1372.65,366,134,11.819
Q-Learning,20.0,20,400,491,14.4616,1374.31,384,134,13.1398
SARSA,20.0,20,400,526,14.368,1379.31,351,129,13.211
Q-Learning,25.0,20,400,626,14.3085,340.66,360,177,11.7079
SARSA,25.0,20,400,671,14.4275,1347.65,347,159,10.3339
